tcode,title,module,purpose,description,business_process,related_tables,related_tcodes,common_errors,authorization_objects,keywords
ZWM0873,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0874,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0875,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0876,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0877,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0878,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0879,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0880,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0881,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0882,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0883,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0884,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0885,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0886,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0887,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0888,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0889,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0890,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0891,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0892,Configuration,PP,Execute configuration,Custom configuration transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0893,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0894,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0895,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0896,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0897,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0898,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0899,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0900,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0901,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0902,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0903,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0904,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0905,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0906,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0907,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0908,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0909,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0910,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0911,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZWM0912,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0913,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0914,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0915,Master Data,WM,Execute master data,Custom master data transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0916,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0917,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0918,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0919,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0920,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0921,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZPP0922,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0923,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0924,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZWM0925,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0926,Reporting,FI,Execute reporting,Custom reporting transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZFI0927,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0928,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0929,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZSD0930,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0931,Reporting,SD,Execute reporting,Custom reporting transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZMM0932,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0933,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0934,Business Function,FI,Execute business function,Custom business function transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0935,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0936,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0937,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0938,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0939,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0940,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZPP0941,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0942,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0943,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0944,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0945,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0946,Reporting,MM,Execute reporting,Custom reporting transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0947,Custom Transaction,SD,Execute custom transaction,Custom custom transaction transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0948,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0949,Configuration,QM,Execute configuration,Custom configuration transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0950,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0951,Configuration,WM,Execute configuration,Custom configuration transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZQM0952,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0953,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0954,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0955,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZFI0956,Master Data,FI,Execute master data,Custom master data transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0957,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0958,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0959,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0960,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZFI0961,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZSD0962,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZSD0963,Master Data,SD,Execute master data,Custom master data transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZPP0964,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0965,Business Function,MM,Execute business function,Custom business function transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0966,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZFI0967,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZPP0968,Reporting,PP,Execute reporting,Custom reporting transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZMM0969,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZSD0970,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0971,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0972,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZMM0973,Custom Transaction,MM,Execute custom transaction,Custom custom transaction transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0974,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0975,Business Function,WM,Execute business function,Custom business function transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZWM0976,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZMM0977,Master Data,MM,Execute master data,Custom master data transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZMM0978,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZWM0979,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZFI0980,Configuration,FI,Execute configuration,Custom configuration transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0981,Business Function,QM,Execute business function,Custom business function transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0982,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZFI0983,Custom Transaction,FI,Execute custom transaction,Custom custom transaction transaction for FI.,Business Process,ZTABLE1;ZTABLE2,,,,fi
ZQM0984,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZSD0985,Business Function,SD,Execute business function,Custom business function transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0986,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0987,Business Function,PP,Execute business function,Custom business function transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0988,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0989,Custom Transaction,WM,Execute custom transaction,Custom custom transaction transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZPP0990,Master Data,PP,Execute master data,Custom master data transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZWM0991,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
ZSD0992,Configuration,SD,Execute configuration,Custom configuration transaction for SD.,Business Process,ZTABLE1;ZTABLE2,,,,sd
ZQM0993,Reporting,QM,Execute reporting,Custom reporting transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZPP0994,Custom Transaction,PP,Execute custom transaction,Custom custom transaction transaction for PP.,Business Process,ZTABLE1;ZTABLE2,,,,pp
ZQM0995,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZMM0996,Configuration,MM,Execute configuration,Custom configuration transaction for MM.,Business Process,ZTABLE1;ZTABLE2,,,,mm
ZQM0997,Custom Transaction,QM,Execute custom transaction,Custom custom transaction transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZQM0998,Master Data,QM,Execute master data,Custom master data transaction for QM.,Business Process,ZTABLE1;ZTABLE2,,,,qm
ZWM0999,Reporting,WM,Execute reporting,Custom reporting transaction for WM.,Business Process,ZTABLE1;ZTABLE2,,,,wm
